Taxi ID,Date,Time,Latitude,Longitude,Temperature
8,2002/1/14,23:59:45.615489+01,41.89510484,12.42945705,10.05982732
8,2002/2/14,13:18:57.162093+01,41.92347388,12.62723119,12.51515338
8,2002/2/14,15:21:28.113269+01,41.9065628,12.45124805,12.6764771
8,2002/2/14,15:35:54.72015+01,41.85651343,12.37692461,12.36708062
8,2002/2/14,17:51:53.750433+01,41.8562146,12.51094208,15.39190746
8,2002/2/14,17:59:55.38788+01,41.86364121,12.49754393,16.22784228
8,2002/2/14,18:00:08.663804+01,41.86541218,12.4969914,12.90670953
8,2002/2/14,19:18:27.898914+01,41.91748541,12.54182337,9.73505145
8,2002/2/14,19:51:25.001977+01,41.92657278,12.57449133,10.39665544
8,2002/3/14,05:47:00.152845+01,41.8421175,12.62816716,6.259592389
8,2002/3/14,05:54:08.183566+01,41.79849575,12.54012493,7.116436346
8,2002/3/14,05:58:21.140386+01,41.80161416,12.44811602,5.169518337
8,2002/3/14,06:47:11.497172+01,41.801066,12.45219487,8.220632249
8,2002/3/14,06:51:11.494201+01,41.79939777,12.5446853,10.14613365
8,2002/3/14,07:22:13.082816+01,41.81164145,12.54050759,10.81379192
8,2002/3/14,07:38:29.487446+01,41.8591573,12.57045965,9.923093148
8,2002/3/14,09:18:05.379013+01,41.89915066,12.45234702,7.755972903
8,2002/3/14,11:57:30.468315+01,41.92548294,12.52762117,11.14731584
8,2002/3/14,11:57:46.28998+01,41.92781894,12.52814867,9.802899785
8,2002/3/14,12:00:00.564348+01,41.93926589,12.52917397,13.89751268
8,2002/3/14,13:03:08.374502+01,41.85830661,12.57063692,16.1843988
8,2002/3/14,14:22:07.958313+01,41.85458737,12.54186479,12.70476706
8,2002/3/14,14:22:37.504087+01,41.85662075,12.53743421,14.74458331
8,2002/3/14,15:29:53.725329+01,41.90900545,12.51325828,15.63773274
11,2002/1/14,05:55:16.448013+01,41.90749132,12.49019629,6.926967806
11,2002/1/14,06:00:01.733339+01,41.90743376,12.49020885,9.41844038
11,2002/1/14,07:04:50.064511+01,41.85667661,12.49364411,9.549338973
11,2002/1/14,07:09:50.554877+01,41.83913089,12.45159412,8.582965259
11,2002/1/14,10:47:53.424436+01,41.9266561,12.48083349,8.767752675
11,2002/1/14,12:00:08.72917+01,41.90763661,12.49026789,14.51123499
11,2002/2/14,05:20:52.67538+01,41.88321252,12.53515522,6.42472232
11,2002/2/14,06:00:00.180985+01,41.90740852,12.49042627,9.145877593
11,2002/2/14,07:34:17.169605+01,41.8562823,12.47349426,10.9122872
11,2002/2/14,07:39:44.468929+01,41.83963446,12.45197416,6.991045263
11,2002/2/14,08:04:30.989976+01,41.88364177,12.38178019,8.242309575
11,2002/2/14,12:00:02.983902+01,41.90786924,12.49130141,14.20016399
11,2002/3/14,05:17:22.208216+01,41.8801768,12.5355802,7.390311231
11,2002/3/14,06:00:14.419782+01,41.90744308,12.49040498,10.58785693
11,2002/3/14,11:01:27.400075+01,41.92644979,12.51583035,9.891256922
11,2002/3/14,12:00:10.62459+01,41.90761417,12.49041162,16.0878882
12,2002/1/14,06:14:55.897662+01,41.96333025,12.62725589,8.249650758
12,2002/1/14,07:02:09.855364+01,41.92872519,12.50766479,7.680642596
12,2002/1/14,08:53:00.500875+01,41.89703972,12.48782608,6.949165658
12,2002/1/14,11:11:25.843499+01,41.85052383,12.48479684,9.43007038
12,2002/1/14,11:19:41.709354+01,41.81658421,12.3708181,8.354438955
12,2002/1/14,12:11:25.382181+01,41.8163992,12.36956756,13.11482391
12,2002/1/14,12:18:34.371533+01,41.90441913,12.38409461,12.82216841
12,2002/1/14,12:19:49.781949+01,41.92818729,12.38111249,11.43900884
12,2002/1/14,12:41:27.335411+01,41.95906229,12.45400989,12.10817776
12,2002/1/14,13:02:57.364729+01,41.97174569,12.55119699,11.64738012
12,2002/2/14,06:44:25.804607+01,41.96504172,12.62774075,9.27132698
12,2002/2/14,10:18:50.590167+01,41.83936379,12.45195795,7.517293599
12,2002/2/14,10:23:20.398561+01,41.85644948,12.47383882,11.12228893
12,2002/2/14,11:59:52.462759+01,41.88984485,12.47440251,9.891186982
12,2002/2/14,14:38:17.671108+01,41.83901094,12.45173522,14.61750715
12,2002/2/14,14:43:18.142916+01,41.85656614,12.47393051,14.42734736
12,2002/2/14,15:29:44.715328+01,41.91402944,12.50851512,15.59567024
12,2002/3/14,06:30:55.27654+01,41.98059828,12.62810614,9.668210684
12,2002/3/14,06:50:40.302635+01,41.937395,12.53925166,9.969912568
12,2002/3/14,09:50:50.841915+01,41.92658544,12.4263974,8.007428538
12,2002/3/14,09:51:05.939811+01,41.92554995,12.42588445,7.356856019
12,2002/3/14,11:59:59.164385+01,41.89327574,12.47527449,11.18908435
12,2002/3/14,13:13:30.879023+01,41.90058615,12.53457472,14.97330683
12,2002/3/14,13:13:48.082768+01,41.89977941,12.54267041,14.8009052
12,2002/3/14,13:20:16.351307+01,41.92865078,12.60508432,14.08213741
12,2002/4/14,09:50:50.841915+01,41.92658544,12.4263974,8.207428538
13,2002/1/14,14:15:02.683036+01,41.9179177,12.49162269,15.9196623
13,2002/1/14,15:00:46.561529+01,41.92678051,12.48175865,11.57536506
13,2002/1/14,15:24:01.821073+01,41.91944256,12.44269654,11.97235444
13,2002/1/14,15:35:51.274173+01,41.92666803,12.42702655,10.79380617
13,2002/1/14,15:51:20.93177+01,41.84782314,12.38065213,11.97727467
13,2002/1/14,16:30:49.423721+01,41.84068564,12.45472642,15.34385265
13,2002/1/14,20:46:35.986507+01,41.81597879,12.36530893,11.4267896
13,2002/1/14,20:51:50.992332+01,41.84068367,12.45476604,11.74946179
13,2002/1/14,22:25:31.005376+01,41.89662557,12.49937842,10.28187407
13,2002/2/14,13:09:34.539784+01,41.9258093,12.50494489,15.30217665
13,2002/2/14,15:08:26.369449+01,41.85744733,12.53658379,17.82279125
13,2002/2/14,15:09:08.902657+01,41.85454232,12.54148355,11.23613693
13,2002/2/14,18:48:43.483032+01,41.83930198,12.45198946,11.37628149
13,2002/2/14,18:55:14.269213+01,41.85673785,12.47387104,13.78139733
13,2002/2/14,19:42:20.828448+01,41.9179717,12.49178066,12.54539186
13,2002/3/14,12:17:40.759746+01,41.93783599,12.54085965,13.37204168
13,2002/3/14,12:23:40.597633+01,41.92514996,12.52195423,15.85884836
13,2002/3/14,14:38:10.664159+01,41.85658686,12.47358986,15.13301751
13,2002/3/14,15:20:27.747657+01,41.83967529,12.45218106,13.38834528
13,2002/3/14,17:16:48.629859+01,41.92643983,12.51577044,14.57430849
13,2002/3/14,17:49:32.43443+01,41.90658471,12.45211825,11.30041339
13,2002/3/14,18:00:09.51155+01,41.86942315,12.44329604,10.90565631
13,2002/3/14,18:04:24.531072+01,41.85630981,12.44012786,10.58832971
14,2002/1/14,13:48:08.174209+01,41.91869833,12.55876667,12.98759387
14,2002/1/14,15:29:19.774811+01,41.94430833,12.469355,13.2129469
14,2002/1/14,17:19:10.819112+01,41.909235,12.52977333,14.5320884
14,2002/1/14,18:12:40.001294+01,41.90973333,12.52799,12.04264938
14,2002/1/14,21:54:01.870722+01,41.96719833,12.43956167,7.515570247
14,2002/1/14,22:00:10.676283+01,41.95122833,12.46806333,9.454320336
14,2002/1/14,22:31:09.922+01,41.86898833,12.45239167,10.48110815
14,2002/1/14,23:26:03.446613+01,41.86074333,12.55553,10.4317996
14,2002/2/14,15:29:01.483695+01,41.91879,12.55885333,13.07075025
14,2002/2/14,16:12:32.798999+01,41.84073833,12.45448,15.04622191
14,2002/2/14,16:12:48.088521+01,41.83983,12.45203333,13.22862542
14,2002/2/14,16:46:22.718064+01,41.90449,12.47878,15.11270909
14,2002/2/14,19:44:51.878718+01,41.81639667,12.36938,11.043936
14,2002/2/14,19:50:48.710851+01,41.83897667,12.45295167,12.01336626
14,2002/2/14,19:54:48.360458+01,41.85799,12.45945167,12.66941196
14,2002/2/14,20:12:07.371662+01,41.86861,12.45214667,10.23335419
14,2002/2/14,23:43:26.239743+01,41.90232833,12.55703333,10.43210785
14,2002/3/14,07:50:22.19232+01,41.9259,12.53983167,11.83243964
14,2002/3/14,09:36:14.675369+01,41.94377333,12.541135,9.509615957
14,2002/3/14,09:53:51.287123+01,41.92676833,12.52768,10.09276713
14,2002/3/14,11:59:28.848542+01,41.92133667,12.54079333,9.933686752
14,2002/3/14,12:02:11.912249+01,41.92645167,12.52789,13.81208135
14,2002/3/14,14:23:49.039565+01,41.92573,12.483015,16.80108588
17,2002/3/14,13:40:47.589095+01,41.87234325,12.47725896,13.36152427
17,2002/3/14,16:13:47.454422+01,41.85518439,12.53944819,15.04416313
17,2002/3/14,16:13:56.24818+01,41.85438539,12.5421523,8.98930895
17,2002/3/14,18:00:14.576879+01,41.79705304,12.58965701,10.01435378
17,2002/3/14,20:45:53.260273+01,41.90178675,12.46403475,16.58589967
17,2002/3/14,20:58:01.863133+01,41.86421064,12.43410578,9.262602146
19,2002/1/14,08:39:19.808034+01,41.87927238,12.52143255,9.708708046
19,2002/1/14,11:50:20.058975+01,41.89304797,12.54569571,7.249233156
19,2002/1/14,12:00:12.885597+01,41.88755903,12.56116147,19.04263737
19,2002/2/14,08:54:59.856436+01,41.8595476,12.564112,9.697954082
19,2002/2/14,09:00:41.051288+01,41.86821714,12.53964007,8.429199834
19,2002/2/14,11:09:04.053586+01,41.92772269,12.45815189,10.93734068
19,2002/2/14,12:00:12.456925+01,41.89771919,12.48190976,14.51183135
19,2002/2/14,12:46:00.606613+01,41.9437124,12.54167359,11.57948182
19,2002/2/14,12:52:53.017063+01,41.92539374,12.56409352,13.28520101
19,2002/3/14,07:43:17.686592+01,41.86055804,12.56169796,9.648416347
19,2002/3/14,11:59:52.251031+01,41.90302745,12.4963607,12.01244401
19,2002/3/14,13:36:05.996159+01,41.88762038,12.51443113,16.35208207
21,2002/2/14,15:53:57.34729+01,41.8960316,12.54145245,14.44888223
21,2002/2/14,16:52:23.835257+01,41.90663292,12.45134258,11.70429968
21,2002/2/14,17:59:55.0779+01,41.90121917,12.50096994,14.03760998
21,2002/2/14,20:21:06.065519+01,41.94373013,12.54224294,10.08871011
21,2002/2/14,21:27:23.093804+01,41.90847207,12.54195399,9.852038842
21,2002/2/14,22:58:44.407134+01,41.85712591,12.47137962,13.7427498
21,2002/2/14,23:50:43.773993+01,41.89960834,12.4608242,11.63449259
21,2002/2/14,23:59:51.405046+01,41.89118554,12.41305209,10.60775313
21,2002/3/14,00:16:38.640823+01,41.89920645,12.45235504,4.582862882
21,2002/3/14,01:42:08.400369+01,41.92264071,12.50628696,7.537824965
21,2002/3/14,01:42:58.509533+01,41.92634089,12.51004944,6.905878444
21,2002/3/14,15:38:47.517148+01,41.92616829,12.52780143,16.43962989
21,2002/3/14,16:00:32.566114+01,41.92704687,12.52391453,13.81945726
21,2002/3/14,18:00:08.224733+01,41.92199026,12.49431103,14.20859973
21,2002/3/14,18:08:34.642763+01,41.92700736,12.49289171,11.29940715
21,2002/3/14,20:46:57.618089+01,41.83982686,12.45231625,10.50954007
21,2002/3/14,20:57:40.975783+01,41.85619549,12.49317334,11.89480384
22,2002/2/14,17:54:47.210183+01,41.79589242,12.45271781,12.54724351
22,2002/2/14,17:55:02.119335+01,41.79657826,12.45289171,14.86871717
22,2002/2/14,18:00:11.64097+01,41.82958978,12.46869844,12.08204229
22,2002/2/14,18:22:30.709938+01,41.85801644,12.49600165,12.33944991
22,2002/2/14,23:30:44.599305+01,41.83947001,12.45206445,12.73310252
22,2002/3/14,00:00:14.539417+01,41.90012439,12.49241614,8.37486401
22,2002/3/14,02:54:00.81054+01,41.79962394,12.45331124,7.059379146
22,2002/3/14,02:54:46.086335+01,41.79096808,12.45127888,4.981306501
22,2002/3/14,17:13:00.460961+01,41.79132956,12.45148671,12.54444137
22,2002/3/14,17:13:30.411486+01,41.79718049,12.45297326,19.83378475
22,2002/3/14,17:59:47.847439+01,41.86069933,12.49880935,12.40550596
22,2002/3/14,23:59:54.512526+01,41.90754395,12.49007074,12.69823863
23,2002/3/14,13:04:36.72501+01,41.89661272,12.4736193,17.09166446
23,2002/3/14,15:54:54.783527+01,41.92688803,12.47430525,15.84016558
24,2002/1/14,04:32:27.358082+01,41.88467752,12.56298113,6.437618176
24,2002/1/14,05:04:40.602934+01,41.88968842,12.4742305,6.984835536
24,2002/1/14,06:57:24.758+01,41.90466874,12.47858858,10.09809845
24,2002/1/14,09:05:19.578276+01,41.81913109,12.40596714,8.150449621
24,2002/1/14,09:49:06.697488+01,41.84956029,12.4745385,9.974701135
24,2002/1/14,12:35:42.991003+01,41.90715613,12.45207137,12.22881807
24,2002/1/14,13:14:09.939914+01,41.90416596,12.5361214,14.33265164
24,2002/1/14,13:26:35.537805+01,41.88273965,12.56448696,14.19303413
24,2002/2/14,05:08:01.63421+01,41.87063645,12.45053926,5.75976835
24,2002/2/14,05:59:45.741984+01,41.90462192,12.49442884,7.349931916
24,2002/2/14,11:17:06.291349+01,41.92653193,12.5232927,9.01988685
24,2002/2/14,11:59:55.025059+01,41.90359514,12.48864624,9.743162456
24,2002/2/14,12:00:10.027411+01,41.90359514,12.48864624,14.04934512
24,2002/2/14,13:11:55.372958+01,41.80715478,12.45229411,13.24769133
24,2002/2/14,13:54:13.991209+01,41.79735916,12.53534469,15.16880375
24,2002/2/14,14:00:33.606215+01,41.85705481,12.59869504,12.77608057
24,2002/2/14,14:00:51.401758+01,41.8591842,12.59935168,14.95596337
24,2002/3/14,05:59:48.063496+01,41.90375857,12.48907969,7.736333929
24,2002/3/14,06:00:05.428715+01,41.90375857,12.48907969,11.60902158
24,2002/3/14,10:12:29.433805+01,41.90807358,12.45258848,7.861158464
24,2002/3/14,13:12:39.6023+01,41.91855804,12.53859543,15.83106778
24,2002/3/14,13:27:02.198855+01,41.88403523,12.56877681,13.80540959
28,2002/3/14,13:07:39.308602+01,41.78922028,12.37596839,12.10561338
28,2002/3/14,13:20:54.313101+01,41.85753595,12.47765429,15.90569992
28,2002/3/14,16:57:32.590618+01,41.85721236,12.49464543,13.84942521
28,2002/3/14,18:00:26.801529+01,41.87024977,12.48853147,13.43010396
28,2002/3/14,18:09:43.665982+01,41.8559885,12.49277252,14.41514625
28,2002/3/14,18:18:37.145782+01,41.83854837,12.45110309,10.45121861
28,2002/3/14,19:38:35.847752+01,41.85819614,12.37627192,10.22170113
28,2002/3/14,19:48:37.241268+01,41.98180699,12.46025289,11.97282892
28,2002/3/14,19:52:49.00148+01,41.97644628,12.54069635,10.15757674
28,2002/4/14, 20:14:02.284812+01,41.92814208,12.38100212,8.650688084
29,2002/3/14,14:55:05.813699+01,41.91516227,12.45274793,12.50198757
29,2002/3/14,16:13:26.983481+01,41.95999308,12.45243085,12.17734859
29,2002/3/14,17:12:36.397269+01,41.92648778,12.48130051,12.69215717
29,2002/3/14,17:59:57.546862+01,41.91635875,12.46375983,16.0247013
29,2002/3/14,21:08:51.334107+01,41.92582898,12.5080096,13.48106964
29,2002/3/14,21:14:46.965054+01,41.92966942,12.51880738,10.20065466
30,2002/3/14,14:06:10.118324+01,41.83641442,12.46784259,14.81759871
30,2002/3/14,15:29:38.605517+01,41.85896859,12.47820583,15.70106395
30,2002/3/14,17:21:15.432952+01,41.91487828,12.45232575,12.32614895
30,2002/3/14,17:52:39.363474+01,41.81627287,12.36692813,13.85401533
30,2002/3/14,18:57:59.108745+01,41.83986106,12.45230601,11.43506098
30,2002/3/14,19:05:59.100843+01,41.85741209,12.49492962,13.32318072
30,2002/3/14,19:06:14.358863+01,41.8582912,12.49619913,12.66101615
31,2002/1/14,08:58:44.285161+01,41.89255658,12.54143151,8.747972507
31,2002/1/14,11:28:29.800893+01,41.87636227,12.52119771,9.618685994
31,2002/1/14,12:35:58.109232+01,41.92772944,12.4740579,12.45634153
31,2002/2/14,08:04:05.969146+01,41.85718188,12.56295396,9.498365922
31,2002/2/14,08:08:05.525234+01,41.8671586,12.54119055,8.772187236
31,2002/2/14,08:08:25.478301+01,41.86835767,12.53941375,10.30922573
31,2002/2/14,13:34:45.457044+01,41.90480191,12.48290566,14.87130528
31,2002/3/14,07:57:14.527474+01,41.8670144,12.54155746,10.6944782
31,2002/3/14,09:01:38.013347+01,41.8572813,12.49540275,11.71908714
31,2002/3/14,11:59:53.540718+01,41.88734383,12.50459586,11.69922869
31,2002/3/14,13:17:50.470713+01,41.90422269,12.46300963,14.89474052
32,2002/3/14,13:39:52.638976+01,41.80912683,12.45025063,14.29739295
32,2002/3/14,13:52:58.560755+01,41.85826142,12.47790932,18.94026606
32,2002/3/14,17:40:01.512389+01,41.84073143,12.45336784,17.19097223
32,2002/3/14,18:09:16.240567+01,41.81615408,12.36657552,11.11470024
32,2002/3/14,18:15:15.368618+01,41.84067805,12.45373147,14.98773579
37,2002/1/14,01:04:16.891389+01,41.88973969,12.47419299,5.725774194
37,2002/1/14,02:13:27.085654+01,41.85628897,12.53777019,6.177062884
37,2002/1/14,02:13:57.42628+01,41.85402397,12.5430404,5.562384602
39,2002/3/14,13:37:21.2976+01,41.9547101,12.6229026,13.05180778
39,2002/3/14,13:52:05.261134+01,41.92526967,12.60746609,15.51466799
39,2002/3/14,16:13:03.50644+01,41.8574759,12.62598684,12.08870165
39,2002/3/14,17:59:50.612654+01,41.91146178,12.49348764,16.53841167
39,2002/3/14,21:00:02.368064+01,41.91411784,12.45173046,11.17362092
39,2002/3/14,21:15:23.032108+01,41.9276664,12.45822356,11.59582423
39,2002/3/14,21:57:08.372118+01,41.90830316,12.5395444,13.01569591
39,2002/3/14,22:06:23.46771+01,41.92527709,12.57348882,10.81354358
39,2002/3/14,22:14:07.385949+01,41.94280186,12.62282068,9.754880456
40,2002/2/14,19:32:07.964311+01,41.89298014,12.54171094,10.96779291
40,2002/2/14,23:59:54.369532+01,41.91209454,12.49246235,12.17895232
40,2002/3/14,00:00:10.749292+01,41.91342601,12.49329735,7.641701416
40,2002/3/14,02:20:10.30939+01,41.97595783,12.51207328,6.84661863
41,2002/3/14,14:53:09.056142+01,41.87008546,12.45270052,12.73903217
41,2002/3/14,14:53:23.748596+01,41.87010789,12.45283803,16.46931357
41,2002/3/14,16:00:13.712699+01,41.85711351,12.53691555,15.30221731
41,2002/3/14,16:00:43.695976+01,41.85465646,12.54137556,12.92379085
41,2002/3/14,17:59:46.569845+01,41.83341644,12.42989284,13.2857852
41,2002/3/14,18:33:12.780944+01,41.83931213,12.45195965,11.31955422
41,2002/3/14,20:27:27.703463+01,41.85715068,12.49451817,12.53141995
41,2002/3/14,20:27:43.034536+01,41.85841485,12.49628696,13.50689562
41,2002/3/14,21:03:42.71485+01,41.89944101,12.45278048,10.95095475
42,2002/2/14,20:27:39.575805+01,41.8998262,12.5606879,8.340450132
42,2002/2/14,20:33:17.879629+01,41.91856842,12.53900386,12.93054659
42,2002/3/14,04:27:05.997024+01,41.89237865,12.53583573,9.006992704
42,2002/3/14,04:27:36.034629+01,41.89255044,12.54111708,5.46385725
42,2002/3/14,21:15:27.981732+01,41.8999334,12.5594614,11.39382856
42,2002/3/14,23:22:17.896359+01,41.85904568,12.4968269,12.41721031
42,2002/3/14,23:22:32.428278+01,41.85707856,12.49409847,14.15367316
42,2002/3/14,23:27:17.149962+01,41.84029222,12.45257386,10.62382781
43,2002/1/14,10:29:00.634856+01,41.85352826,12.3849709,8.180300512
43,2002/1/14,10:31:04.483676+01,41.85864437,12.40004619,6.759185722
43,2002/1/14,10:57:55.42812+01,41.90677805,12.46547689,9.45733823
43,2002/1/14,12:21:38.374241+01,41.89708327,12.47283446,14.9126425
43,2002/1/14,13:24:55.101258+01,41.89924153,12.45229715,12.23692768
43,2002/2/14,08:49:30.475308+01,41.81642335,12.37009493,7.662391967
43,2002/2/14,09:09:15.798285+01,41.90653756,12.4507118,8.314590362
43,2002/2/14,11:59:52.05721+01,41.89607406,12.48273893,10.64367134
43,2002/2/14,12:00:06.775678+01,41.8965504,12.48243889,13.95033331
43,2002/2/14,13:10:06.459139+01,41.85724424,12.45450586,15.92425356
43,2002/2/14,13:10:51.384335+01,41.85616941,12.45195398,13.63548914
43,2002/3/14,10:01:36.33657+01,41.81619418,12.36712544,7.790007305
43,2002/3/14,10:12:21.758895+01,41.8561823,12.47368573,11.31226443
43,2002/3/14,10:12:36.462534+01,41.8575681,12.47408964,10.9746571
43,2002/3/14,13:19:25.552404+01,41.92637664,12.47078794,13.17288647
43,2002/3/14,13:31:55.54839+01,41.9039326,12.47247411,17.5923681
44,2002/3/14,15:09:37.664374+01,41.92237255,12.53096701,16.4890733
44,2002/3/14,15:32:39.714853+01,41.92631023,12.50992874,13.07854606
44,2002/3/14,16:46:33.638757+01,41.90681891,12.45272526,12.24794821
44,2002/3/14,18:09:17.093189+01,41.86994596,12.45293588,15.50751428
44,2002/3/14,18:31:45.924299+01,41.85731534,12.4776407,14.42183974
44,2002/3/14,19:29:52.247293+01,41.86158897,12.45235963,10.04805737
45,2002/1/14,05:59:56.334172+01,41.89598041,12.47678452,7.357593973
45,2002/1/14,06:40:26.349594+01,41.89606999,12.47647903,8.120634477
45,2002/1/14,07:35:41.433644+01,41.82428434,12.41934945,7.494290754
45,2002/1/14,08:10:13.856564+01,41.84059021,12.45361107,14.06200226
45,2002/1/14,12:15:55.337315+01,41.83799795,12.4508831,11.63678677
45,2002/1/14,12:17:39.299085+01,41.84357186,12.4662031,13.52159546
45,2002/1/14,13:49:31.492586+01,41.91754965,12.47968913,14.1927498
45,2002/1/14,14:04:40.41859+01,41.98864453,12.49907122,11.75664765
45,2002/2/14,05:32:52.028597+01,41.89664445,12.51048819,7.423361837
45,2002/2/14,06:00:04.692574+01,41.89607464,12.4768973,9.284019271
45,2002/2/14,06:28:06.719086+01,41.87018475,12.4517957,7.426472399
45,2002/2/14,12:11:10.07367+01,41.83998789,12.45208027,14.4792668
45,2002/2/14,12:46:03.934571+01,41.85670408,12.49392463,13.56421379
45,2002/2/14,14:38:30.982023+01,41.89921881,12.45215008,10.27970081
45,2002/2/14,15:10:31.766902+01,41.9059298,12.52258617,13.74689505
45,2002/3/14,07:11:13.359054+01,41.85740693,12.51469503,12.64251128
45,2002/3/14,07:29:45.36077+01,41.79353056,12.5752059,10.36249996
45,2002/3/14,11:59:47.818786+01,41.89601012,12.47657818,10.7987899
45,2002/3/14,13:52:46.119167+01,41.90848933,12.52649182,15.29144359
46,2002/1/14,05:14:23.997579+01,41.79017743,12.42747854,5.152611504
46,2002/1/14,05:17:07.279285+01,41.80851295,12.45455779,6.010176712
46,2002/1/14,05:26:43.52288+01,41.85769861,12.49554016,7.101584696
46,2002/1/14,06:50:55.263497+01,41.90360324,12.48862752,9.964139527
46,2002/1/14,11:35:22.506579+01,41.92675279,12.48178952,9.189337442
46,2002/1/14,12:15:14.351227+01,41.89386815,12.50084399,14.04301452
46,2002/1/14,12:36:28.78627+01,41.83806731,12.47291286,14.59278537
